Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
948430,Lamb of God,Laid to Rest,1yc53HK08sDab7PDFgnLWk,65,2004,groove,0.366,0.956,10,-3.725,0,0.108,0.000293,0.00447,0.449,0.159,104.016,230127,3
507277,Miky Woodz,La MVP,74WOZ17ERaFrHXYtSid13p,65,2021,hip-hop,0.892,0.601,8,-5.868,0,0.152,0.165,0.0,0.104,0.58,119.95,180752,4
452912,Mac Miller,Hand Me Downs,2Yv2mHzr5AQavVdwQjEokV,65,2020,hip-hop,0.677,0.33,2,-11.198,1,0.149,0.474,0.000871,0.064,0.336,68.985,298440,4
452913,Oliver Tree,Alien Boy,3BIIJgBJJ7NhhCv4MI6n7w,65,2020,hip-hop,0.792,0.576,1,-7.046,1,0.132,0.0597,0.0,0.186,0.52,130.135,164313,4
951015,Terror Squad,Lean Back,2Ozc0me9PV5vlt8cokwdvI,65,2004,hardcore,0.783,0.916,1,-3.344,1,0.415,0.11,0.0,0.0746,0.695,95.321,247427,4
452896,Money Man,24,2FVMbLuIxo0dz3KLXgN6Jh,65,2020,hip-hop,0.842,0.715,2,-6.03,1,0.0912,0.0265,0.0554,0.0831,0.428,126.021,160952,4
560780,Oliver Tree,Jerk - Sped Up Version,6Vq3tnOG1MlYklLVRpX1D8,65,2022,hip-hop,0.631,0.705,2,-3.61,1,0.0332,0.0655,0.000642,0.271,0.245,103.998,103909,4
462323,Neha Kakkar,Taaron Ke Shehar,1r6sFC5J0p9r3jcfIoSGDM,65,2020,pop-film,0.441,0.61,9,-5.182,0,0.0404,0.238,0.0,0.101,0.348,79.736,230082,4
452919,Oliver Tree,Hurt,6Ph8QwsRfZunN5e1GGBIqa,65,2020,hip-hop,0.563,0.784,0,-5.875,1,0.0402,0.0173,0.0,0.467,0.424,93.992,145147,4
494177,blackbear,@ my worst,0mHGftgYtmpH4y17T3VZ2E,65,2021,electro,0.615,0.774,4,-5.152,0,0.0551,0.0173,0.0,0.15,0.336,136.887,191364,4
507164,Dave,Law Of Attraction (feat. Snoh Aalegra),25tXNghelZKdGZZVoSL9Yg,65,2021,hip-hop,0.774,0.513,0,-8.159,1,0.342,0.32,0.000105,0.0866,0.51,102.78,181676,4
452921,$NOT,Moon & Stars (feat. Maggie Lindemann),3oGbHF3Kdwf3AsRCbBjUxu,65,2020,hip-hop,0.713,0.47,9,-8.698,1,0.0864,0.606,1.35e-05,0.306,0.0825,84.518,187587,4
197716,Jasmine Thompson,Like I'm Gonna Lose You,2pV8RpdLemcyMWko8dASVt,65,2015,pop,0.398,0.174,0,-11.16,1,0.0364,0.958,4.16e-06,0.158,0.153,172.152,232339,3
541748,PNAU,You Know What I Need,5PQFmB2xhRkJTUWDKccBoP,65,2022,dance,0.768,0.896,6,-3.501,0,0.0969,0.0152,0.0,0.0412,0.829,109.959,170000,4
525474,Pearl Melendez,Tiniebla,1uGy4uNI3SeVUien40Dtzo,65,2021,sleep,0.148,0.0109,7,-36.403,1,0.0432,0.978,0.935,0.109,0.0426,72.416,209250,4
452906,NAV,Turks (with Gunna & ft. Travis Scott),7IMwEtpAiJanqF6vQteZN2,65,2020,hip-hop,0.894,0.618,7,-4.356,0,0.129,0.0808,0.0,0.558,0.379,119.1,161320,4
560741,Daddy Yankee,REMIX,65MqlYPOWReasKWcuCaOCW,65,2022,hip-hop,0.819,0.781,1,-4.879,1,0.0547,0.0323,0.0012,0.121,0.385,100.062,163680,4
520554,Grupo Arriesgado,La Linea Directa - En Vivo,4ZWEM4VCw9qwMkvOJyTsnC,65,2021,sad,0.76,0.754,5,-6.312,1,0.129,0.522,0.0,0.359,0.91,124.992,153344,3
577956,mehro,whore,5kkSbXjKeAxmDllVqAjDq6,65,2022,singer-songwriter,0.766,0.265,7,-12.35,1,0.0315,0.904,0.0492,0.0899,0.369,136.063,163385,4
520552,Carin Leon,Como Que Me Enamoro - En Vivo,7IZ738mnMnhVhxzn8m06qn,65,2021,sad,0.533,0.437,0,-4.795,0,0.115,0.684,0.0,0.116,0.804,145.909,177250,4
510806,ENHYPEN,Go Big or Go Home,6IqKFke4ZhKbGYULllEezY,65,2021,k-pop,0.766,0.844,10,-3.993,0,0.0575,0.0502,0.0,0.269,0.823,122.019,201707,4
617309,Luiza Martins,Desconhecido - Ao Vivo,1e73nMt46OzhtYT1GLzue1,65,2023,sertanejo,0.702,0.787,5,-3.671,0,0.0553,0.254,0.0,0.916,0.58,120.953,173021,4
541763,Tove Lo,No One Dies From Love,1cx7kDfiHlvQWwPRNxQrfQ,65,2022,dance,0.659,0.803,0,-6.632,1,0.0558,0.0745,1.16e-06,0.251,0.339,121.085,186018,4
805051,Ashanti,Unfoolish,6dZ6qWl1e9GsMndBG7vqB9,65,2002,dance,0.701,0.692,9,-4.67,0,0.115,0.699,0.0,0.177,0.688,90.193,194160,4
1036543,Slightly Stoopid,Closer to the Sun,1UL8GkVAs6UcWF6BZ3DYZt,65,2005,rock,0.572,0.728,7,-5.534,1,0.0275,0.203,0.00263,0.231,0.535,75.179,145560,4
496710,NATTAN,Agora é Pra Valer,4gwVRLnHG5P6aOSRWiA052,65,2021,forro,0.692,0.887,3,-3.457,1,0.0742,0.279,0.0,0.0417,0.816,164.07,130090,4
617290,AgroPlay,AgroVerão,2f4ogaXcvFmdzO7xPlhoV5,65,2023,sertanejo,0.615,0.62,5,-3.217,1,0.0604,0.364,0.0,0.326,0.505,120.061,193592,4
605553,Nanpa Básico,Me Gustas Más Que Salir a Fumar,3e5qNP3CSArQiLLBMJQkUM,65,2023,hip-hop,0.836,0.542,5,-6.828,1,0.0375,0.779,0.00141,0.085,0.586,132.076,201933,4
805057,Justin Timberlake,Señorita,0aj2QKJvz6CePykmlTApiD,65,2002,dance,0.841,0.63,1,-5.356,1,0.0443,0.0725,0.0,0.0742,0.876,97.964,294867,4
617283,Zé Neto & Cristiano,Me Bloqueia - Ao Vivo,36msBnH60GyWof23sMdQSL,65,2023,sertanejo,0.63,0.755,1,-6.859,0,0.0408,0.32,0.0,0.0826,0.554,149.086,157200,4
286684,Måneskin,Somebody Told Me,4AIatGjGyVipeEAzCMTqOg,65,2017,indie-pop,0.614,0.867,2,-3.484,1,0.114,0.0231,0.0,0.0821,0.775,148.885,161040,4
